messages,clean_text,label
"Coffee cake, i guess...",coffee cake guess,ham
"Merry Christmas to you too babe, i love ya *kisses*",merry christmas babe love ya kiss,ham
Hey... Why dont we just go watch x men and have lunch... Haha ,hey dont go watch x men lunch haha,ham
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,cud tell people im gona b bit l8 co 2 bus hav gon past co full im still waitin 4 1 pete x,ham
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,would great guild could meet bristol road somewhere get touch weekend plan take flight good week,ham
No problem. How are you doing?,problem,ham
No calls..messages..missed calls,call message missed call,ham
Hi da:)how is the todays class?,hi da today class,ham
"I'd say that's a good sign but, well, you know my track record at reading women",say good sign well know track record reading woman,ham
"Cool, text me when you're parked",cool text parked,ham
I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,reading text sent meant joke read light,ham
K.k:)apo k.good movie.,k k apo k good movie,ham
Maybe i could get book out tomo then return it immediately ..? Or something.,maybe could get book tomo return immediately something,ham
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,call germany 1 penny per minute call fixed line via access number 0844 861 85 85 prepayment direct access,spam
Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor,ham
Valentines Day Special! Win over ï¿½1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,valentine day special win 1000 quiz take partner trip lifetime send go 83600 150p msg rcvd custcare 08718720201,spam
"Ta-Daaaaa! I am home babe, are you still up ?",ta daaaaa home babe still,ham
Cool. So how come you havent been wined and dined before?,cool come havent wined dined,ham
Just sleeping..and surfing,sleeping surfing,ham
"Sorry, I'll call later",sorry call later,ham
U calling me right? Call my hand phone...,calling right call hand phone,ham
Ok that's great thanx a lot.,ok great thanx lot,ham
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,take post come must 1000 text happy reading one wiv hello caroline end favourite bless,ham
Where u been hiding stranger?,hiding stranger,ham
Am not interested to do like that.,interested like,ham
My sister cleared two round in birla soft yesterday.,sister cleared two round birla soft yesterday,ham
Gudnite....tc...practice going on,gudnite tc practice going,ham
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,dis yijue jus saw ur mail case huiming havent sent num dis num,ham
One small prestige problem now.,one small prestige problem,ham
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,fancy shag interested sextextuk com txt xxuk suzy 69876 txts cost 1 50 per msg tncs website x,spam
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,checking really miss seeing jeremiah great month,ham
"Nah can't help you there, I've never had an iphone",nah help never iphone,spam
If you're not in my car in an hour and a half I'm going apeshit,car hour half going apeshit,ham
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",today sorry day ever angry ever misbehaved hurt please please slap urself bcoz ur fault basically good,ham
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,yo guy ever figure much need alcohol jay trying figure much safely spend weed,ham
&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,lt gt ish minute 5 minute ago f * * *,ham
"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer,ham
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs www ldew com1win150ppmx3age16,spam
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,ur cash balance currently 500 pound maximize ur cash send cash 86688 150p msg cc 08708800282 hg suite342 2lands row w1j6hl,spam
"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday,ham
"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",hello got st andrew boy long way cold keep posted,ham
Ha ha cool cool chikku chikku:-):-DB-),ha ha cool cool chikku chikku db,ham
Oh ok no prob..,oh ok prob,ham
Check audrey's status right now,check audrey status right,ham
Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,busy trying finish new year looking forward finally meeting,ham
"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always,ham
Well i know Z will take care of me. So no worries.,well know z take care worry,ham
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",update xmas offer latest motorola sonyericsson nokia free bluetooth double min 1000 txt orange call mobileupd8 08000839402 call2optout f4q,spam
Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,discount code rp176781 stop message reply stop www regalportfolio co uk customer service 08717205546,spam
Wat uniform? In where get?,wat uniform get,ham
"Cool, text me when you're ready",cool text ready,ham
"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",hello boytoy geeee miss already woke wish bed cuddling love,ham
I will spoil you in bed as well :),spoil bed well,ham
I'm going for bath will msg you next  &lt;#&gt;  min..,going bath msg next lt gt min,ham
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,cant keep talking people sure pay agree price please tell want really buy much willing pay,ham
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",thanks ringtone order reference t91 charged gbp 4 per week unsubscribe anytime calling customer service 09057039994,spam
Can you say what happen,say happen,ham
You could have seen me..i did't recognise you Face.:),could seen recognise face,ham
Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,well lot thing happening lindsay new year sigh bar ptbo blue heron something going,ham
Keep my payasam there if rinu brings,keep payasam rinu brings,ham
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake,ham
"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",guess worried must know way body repair quite sure worry take slow first test guide ovulation relax nothing said reason worry keep followin,ham
"Yeah sure, give me a couple minutes to track down my wallet",yeah sure give couple minute track wallet,ham
Hey leave it. not a big deal:-) take care.,hey leave big deal take care,ham
Hey i will be late ah... Meet you at 945+,hey late ah meet 945,ham
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",double min txts 4 6months free bluetooth orange available sony nokia motorola phone call mobileupd8 08000839402 call2optout n9dx,spam
It took Mr owl 3 licks,took mr owl 3 lick,ham
Customer place i will call you.,customer place call,ham
Mm that time you dont like fun,mm time dont like fun,ham
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,4mths half price orange line rental latest camera phone 4 free phone 11mths call mobilesdirect free 08000938767 update or2stoptxt,spam
Yup having my lunch buffet now.. U eat already?,yup lunch buffet eat already,ham
Huh so late... Fr dinner?,huh late real dinner,ham
Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,hey sat going intro pilate kickboxing,ham
Morning only i can ok.,morning ok,ham
Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,yes think office lap room think thats last day didnt shut,ham
Pick you up bout 7.30ish? What time are  and that going?,pick bout 7 30ish time going,ham
From here after The performance award is calculated every two month.not for current one month period..,performance award calculated every two month current one month period,ham
Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,actually sleeping still might call back text great rock si send text wen wake,ham
"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",always putting business put picture as facebook one open people ever met would think picture room would hurt make feel violated,ham
"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india,ham
Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,hmmm k want change field quickly da wan na get system administrator network administrator,ham
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xï¿½150pw to eï¿½nd txt stop",free ringtone text first 87131 poly text get 87131 true tone help 0845 2814032 16 1st free tone 3x 150pw e nd txt stop,spam
Dear how is chechi. Did you talk to her,dear chechi talk,ham
The hair cream has not been shipped.,hair cream shipped,ham
None of that's happening til you get here though,none happening til get though,ham
"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",yep great loxahatchee xmas tree burning lt gt start hour,ham
"Haha get used to driving to usf man, I know a lot of stoners",haha get used driving usf man know lot stoner,ham
All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,well slightly disastrous class pm fav darling hope day ok coffee wld good stay late tomorrow time place always,ham
Hello! Good week? Fancy a drink or something later?,hello good week fancy drink something later,ham
Headin towards busetop,headin towards busetop,ham
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,message text missing sender name missing number missing sent date missing missing lot thats everything missing sent via fullonsms com,ham
Come by our room at some point so we can iron out the plan for this weekend,come room point iron plan weekend,ham
Cos i want it to be your thing,co want thing,ham
"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",okies go yan jiu skip ard oso go cine den go mrt one blah blah blah,ham
Bring home some Wendy =D,bring home wendy,ham
100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal l 09064012103 box334sk38ch,spam
Whatsup there. Dont u want to sleep,whatsup dont want sleep,ham
Alright i have a new goal now,alright new goal,ham
FREE entry into our ï¿½250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,free entry 250 weekly competition text word win 80086 18 c www txttowin co uk,spam
"Alright, I'll head out in a few minutes, text me where to meet you",alright head minute text meet,ham
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,send logo 2 ur lover 2 name joined heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p,spam
Yes:)from last week itself i'm taking live call.,yes last week taking live call,ham
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,someone contacted dating service entered phone fancy find call landline 09111032124 pobox12n146tf150p,spam
Siva is in hostel aha:-.,siva hostel aha,ham
URGENT! Your Mobile number has been awarded with a ï¿½2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,urgent mobile number awarded 2000 prize guaranteed call 09058094455 land line claim 3030 valid 12hrs,spam
Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,send ur friend receive something ur voice speaking expression 1 childish 2 naughty 3 sentiment 4 rowdy 5 ful attitude 6 romantic 7 shy 8 attractive 9 funny lt gt irritating lt gt lovable reply,ham
Ok. She'll be ok. I guess,ok ok guess,ham
aathi..where are you dear..,aathi dear,ham
Any pain on urination any thing else?,pain urination thing else,ham
7 at esplanade.. Do ï¿½_ mind giving me a lift cos i got no car today..,7 esplanade mind giving lift co got car today,ham
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob,ham
At home watching tv lor.,home watching tv lor,ham
Does she usually take fifteen fucking minutes to respond to a yes or no question,usually take fifteen fucking minute respond yes question,ham
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,congrats nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3mins vary mobile 16 close 300603 post bcm4284 ldn wc1n3xx,spam
Booked ticket for pongal?,booked ticket pongal,ham
You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,available like right around hillsborough amp lt gt th,ham
The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,message sent askin lt gt dollar shoul pay lt gt lt gt,ham
"Ask g or iouri, I've told the story like ten times already",ask g iouri told story like ten time already,ham
How long does applebees fucking take,long applebees fucking take,ham
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",hi hope get txt journey hasnt gd 50 min late think,ham
But i have to. I like to have love and arrange.,like love arrange,ham
Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,yes really great bhaji told kallis best cricketer sachin world tough get,ham
You were supposed to wake ME up &gt;:(,supposed wake gt,ham
Oic... I saw him too but i tot he din c me... I found a group liao...,oic saw tot din c found group liao,ham
"Sorry, I'll call later",sorry call later,ham
\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS,hey hey werethe monkeespeople say monkeyaround howdy gorgeous,ham
"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",sorry battery died come getting gram place,ham
"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",well done blimey exercise yeah kinda remember wot hmm,ham
I wont get concentration dear you know you are my mind and everything :-),wont get concentration dear know mind everything,ham
LOL ... Have you made plans for new years?,laughing loud made plan new year,ham
10 min later k...,10 min later k,ham
hanks lotsly!,hank lotsly,ham
Thanks for this hope you had a good day today,thanks hope good day today,ham
K:)k:)what are detail you want to transfer?acc no enough?,k k detail want transfer acc enough,ham
Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ok tell stay yeah tough optimistic thing improve month,ham
"Loan for any purpose ï¿½500 - ï¿½75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",loan purpose 500 75 000 homeowner tenant welcome previously refused still help call free 0800 1956669 text back help,spam
Si si. I think ill go make those oreo truffles.,si si think ill go make oreo truffle,ham
"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONï¿½ï¿½T LIKE ME LIKE THAT SO DONï¿½ï¿½T WORRY.",look amy ure beautiful intelligent woman like lot know like like worry,ham
I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,hope result consistently intelligent kind start asking practicum link keep ear open best talk later,ham
"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",1 20 call cost guess isnt bad miss ya need ya want ya love ya,ham
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,going thru different feeling wavering decision coping individual time heal everything believe,ham
Where did u go? My phone is gonna die you have to stay in here,go phone gon na die stay,ham
Great. Never been better. Each day gives even more reasons to thank God,great never better day give even reason thank god,ham
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",upgrdcentre orange customer may claim free camera phone upgrade loyalty call 0207 153 9153 offer end 26th july c apply opt available,spam
"Sorry, I'll call later ok bye",sorry call later ok bye,ham
Ok i am on the way to railway,ok way railway,ham
great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night,ham
They don't put that stuff on the roads to keep it from getting slippery over there?,put stuff road keep getting slippery,ham
When are you going to ride your bike?,going ride bike,ham
"Yup, no need. I'll jus wait 4 e rain 2 stop.",yup need jus wait 4 e rain 2 stop,ham
There are many company. Tell me the language.,many company tell language,ham
okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,okmail dear dave final notice collect 4 tenerife holiday 5000 cash award call 09061743806 landline tc sae box326 cw25wx 150ppm,spam
"How long has it been since you screamed, princess?",long since screamed princess,ham
"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differ sure trust 9ja person sending account detail co,ham
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk largest dogging network txting moan 69888nyt ec2a 31p msg 150p,spam
Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),nice line said broken heart please cum 1 time infront wise trust good 9t,ham
Ok I'm gonna head up to usf in like fifteen minutes,ok gon na head usf like fifteen minute,ham
Love you aathi..love u lot..,love aathi love lot,ham
Tension ah?what machi?any problem?,tension ah machi problem,ham
"K, can I pick up another 8th when you're done?",k pick another 8th done,ham
When're you guys getting back? G said you were thinking about not staying for mcr,guy getting back g said thinking staying mcr,ham
"Almost there, see u in a sec",almost see sec,ham
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",yo carlos friend already asking working weekend,ham
Watching tv lor...,watching tv lor,ham
Thank you baby! I cant wait to taste the real thing...,thank baby cant wait taste real thing,ham
You should change your fb to jaykwon thuglyfe falconerf,change fb jaykwon thuglyfe falconerf,ham
If we win its really no 1 side for long time.,win really 1 side long time,ham
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",free message activate 500 free text message replying message word free term condition visit www 07781482378 com,spam
Dear reached railway. What happen to you,dear reached railway happen,ham
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",depends quality want type sent boye faded glory 6 want ralphs maybe 2,ham
I think i've fixed it can you send a test message?,think fixed send test message,ham
"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",sorry man account dry would want could trade back half could buy shit credit card,ham
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm dont miss,spam
"Sorry,in meeting I'll call later",sorry meeting call later,ham
What class of  &lt;#&gt;  reunion?,class lt gt reunion,ham
Are you free now?can i call now?,free call,ham
Got meh... When?,got meh,ham
Nope... Think i will go for it on monday... Sorry i replied so late,nope think go monday sorry replied late,ham
Some of them told accenture is not confirm. Is it true.,told accenture confirm true,ham
"Kate jackson rec center before 7ish, right?",kate jackson rec center 7ish right,ham
Dear i have reache room,dear reache room,ham
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",fighting world easy either win lose bt fightng some1 close dificult lose lose win still lose,ham
When can ï¿½_ come out?,come,ham
Check with nuerologist.,check nuerologist,ham
Lolnice. I went from a fish to ..water.?,lolnice went fish water,ham
+123 Congratulations - in this week's competition draw u have won the ï¿½1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,123 congratulation week competition draw 1450 prize claim call 09050002311 b4280703 c stop sm 08718727868 18 150ppm,spam
No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,waiting e car dat bored wat co wait outside got nothing 2 home stuff watch tv wat,ham
"Maybe westshore or hyde park village, the place near my house?",maybe westshore hyde park village place near house,ham
You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,know anthony bringing money school fee pay rent stuff like thats need help friend need,ham
What's the significance?,significance,ham
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple please reply,ham
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",8 latest g still scrounge ammo want give new ak try,ham
Prabha..i'm soryda..realy..frm heart i'm sory,prabha soryda realy frm heart sory,ham
Lol ok your forgiven :),laughing loud ok forgiven,ham
No..jst change tat only..,jst change tat,ham
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a ï¿½500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",guaranteed latest nokia phone 40gb ipod mp3 player 500 prize txt word collect 83355 ibhltd ldnw15h 150p mtmsgrcvd18,spam
S:)no competition for him.,competition,ham
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,boltblue tone 150p reply poly mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tone txt,spam
Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,credit topped http www bubbletext com renewal pin tgxxrz,spam
"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",way transport less problematic sat night way want ask n join bday feel free need know definite no booking fri,ham
Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,usually person unconscious child adult may behave abnormally call,ham
But that's on ebay it might be less elsewhere.,ebay might less elsewhere,ham
Shall i come to get pickle,shall come get pickle,ham
Were gonna go get some tacos,gon na go get taco,ham
"That's very rude, you on campus?",rude campus,ham
"URGENT!: Your Mobile No. was awarded a ï¿½2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",urgent mobile awarded 2 000 bonus caller prize 02 09 03 2nd attempt contact call 0871 872 9755 box95qu,spam
Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,hi b ard 4 christmas enjoy n merry x ma,ham
"Today's Offer! Claim ur ï¿½150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. ï¿½3.00 Sub. 16 . Unsub reply X",today offer claim ur 150 worth discount voucher text yes 85023 savamob member offer mobile c 08717898035 3 00 sub 16 unsub reply x,spam
Yes! How is a pretty lady like you single?,yes pretty lady like single,ham
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,recieve tone within next 24hrs term condition please see channel teletext pg 750,spam
Jay says that you're a double-faggot,jay say double faggot,ham
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,private 2003 account statement 07815296484 show 800 un redeemed point call 08718738001 identifier code 41782 expires 18 11 04,spam
What Today-sunday..sunday is holiday..so no work..,today sunday sunday holiday work,ham
Gudnite....tc...practice going on,gudnite tc practice going,ham
I'll be late...,late,ham
"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",called hoping later malaria know miss guy miss ban big please give love especially great day,ham
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea,ham
"Probably gonna be here for a while, see you later tonight &lt;)",probably gon na see later tonight lt,ham
Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,maybe fat finger press button know,ham
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ummmmmaah many many happy return day dear sweet heart happy birthday dear,ham
"I am in tirupur da, once you started from office call me.",tirupur da started office call,ham
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,www applausestore com monthlysubscription 50p msg max6 month csc web age16 2stop txt stop,spam
"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",famous quote develop ability listen anything unconditionally without losing temper self confidence mean married,ham
But am going to college pa. What to do. are else ill come there it self. Pa.,going college pa else ill come self pa,ham
4 oclock at mine. Just to bash out a flat plan.,4 oclock mine bash flat plan,ham
This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,girl stay bed girl need recovery time id rather pas fun cooped bed,ham
Then any special there?,special,ham
I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,know need get hotel got invitation apologise cali sweet come english bloke weddin,ham
"Sorry that took so long, omw now",sorry took long way,ham
Wait  &lt;#&gt;  min..,wait lt gt min,ham
Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,ok give 5 minute think see way alibi cutting hair whole time,ham
"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,ham
"Hurry up, I've been weed-deficient for like three days",hurry weed deficient like three day,ham
"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo,ham
Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,ok every night take warm bath drink cup milk see work magic still need loose weight know,ham
Iï¿½ï¿½ï¿½ll have a look at the frying pan in case itï¿½ï¿½ï¿½s cheap or a book perhaps. No thatï¿½ï¿½ï¿½s silly a frying pan isnï¿½ï¿½ï¿½t likely to be a book,look frying pan case cheap book perhaps silly frying pan likely book,ham
O. Well uv causes mutations. Sunscreen is like essential thesedays,well uv cause mutation sunscreen like essential thesedays,ham
Having lunch:)you are not in online?why?,lunch online,ham
I know that my friend already told that.,know friend already told,ham
Hi Princess! Thank you for the pics. You are very pretty. How are you?,hi princess thank pic pretty,ham
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",aiyo always c ex one dunno abt mei reply first time reply fast lucky workin huh got bao ur sugardad ah gee,ham
Hi msg me:)i'm in office..,hi msg office,ham
